Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HomeBookmaker;DrawBookmaker;AwayBookmaker;avg_home_spectator;avg_away_spectator
E0;01_02;03.11.2001;West Ham;Fulham;0;2;A;0;1;A;2.1;3.0;3.1;25697.0;14985.0
E0;01_02;04.11.2001;Arsenal;Charlton;2;4;A;1;2;A;1.4;3.9;6.0;37974.0;20023.0
E0;01_02;04.11.2001;Chelsea;Ipswich;2;1;H;1;0;H;1.45;3.8;5.4;34700.0;22532.0
E0;01_02;04.11.2001;Leeds;Tottenham;2;1;H;0;0;D;1.6;3.4;4.6;38974.0;35195.0
E0;01_02;04.11.2001;Liverpool;Man United;3;1;H;2;0;H;2.2;3.0;2.9;43699.0;67490.0
E0;01_02;17.11.2001;Aston Villa;Middlesbrough;0;0;D;0;0;D;1.6;3.4;4.6;31597.0;30747.0
E0;01_02;17.11.2001;Blackburn;Liverpool;1;1;D;0;1;A;3.1;3.0;2.1;20740.0;43699.0
E0;01_02;17.11.2001;Derby;Southampton;1;0;H;1;0;H;2.0;3.1;3.2;28551.0;15115.0
E0;01_02;17.11.2001;Fulham;Newcastle;3;1;H;2;0;H;2.2;3.0;2.9;14985.0;51309.0
E0;01_02;17.11.2001;Man United;Leicester;2;0;H;1;0;H;1.25;4.5;9.0;67490.0;20452.0
E0;01_02;17.11.2001;Tottenham;Arsenal;1;1;D;0;0;D;2.7;2.9;2.4;35195.0;37974.0
E0;01_02;18.11.2001;Everton;Chelsea;0;0;D;0;0;D;2.7;2.9;2.4;34131.0;34700.0
E0;01_02;18.11.2001;Ipswich;Bolton;1;2;A;1;2;A;2.0;3.1;3.2;22532.0;16062.0
E0;01_02;18.11.2001;Sunderland;Leeds;2;0;H;0;0;D;3.2;3.1;2.0;46791.0;38974.0
E0;01_02;19.11.2001;Charlton;West Ham;4;4;D;2;2;D;2.2;3.0;2.9;20023.0;25697.0
E0;01_02;24.11.2001;Bolton;Fulham;0;0;D;0;0;D;2.3;3.0;2.7;16062.0;14985.0
E0;01_02;24.11.2001;Chelsea;Blackburn;0;0;D;0;0;D;1.65;3.3;4.4;34700.0;20740.0
E0;01_02;24.11.2001;Leicester;Everton;0;0;D;0;0;D;2.3;3.0;2.7;20452.0;34131.0
E0;01_02;24.11.2001;Newcastle;Derby;1;0;H;1;0;H;1.5;3.7;5.0;51309.0;28551.0
E0;01_02;24.11.2001;Southampton;Charlton;1;0;H;0;0;D;2.2;3.0;2.9;15115.0;20023.0
E0;01_02;24.11.2001;West Ham;Tottenham;0;1;A;0;0;D;2.4;3.0;2.6;25697.0;35195.0
E0;01_02;25.11.2001;Arsenal;Man United;3;1;H;0;1;A;2.3;3.0;2.7;37974.0;67490.0
E0;01_02;25.11.2001;Leeds;Aston Villa;1;1;D;1;1;D;1.8;3.1;3.8;38974.0;31597.0
E0;01_02;25.11.2001;Liverpool;Sunderland;1;0;H;1;0;H;1.45;3.8;5.4;43699.0;46791.0
E0;01_02;25.11.2001;Middlesbrough;Ipswich;0;0;D;0;0;D;1.75;3.2;4.0;30747.0;22532.0
E0;01_02;01.12.2001;Aston Villa;Leicester;0;2;A;0;1;A;1.5;3.5;5.4;31597.0;20452.0
